订单号,日期,渠道,商品ID,商品名称,单价,数量,金额,用户ID,收货省份,订单状态,商品品类,承诺发货时效,物流商,承诺送达时效,发货时间,签收时间,退款原因,原始日期,原金额,是否有效订单
DD202401850,2024-12-14,拼多多,P023,九阳破壁机 ,399.0,2.0,798.0,U0030,上海,已完成,家电,2.0,圆通,4.0,2024-12-16,2024-12-20,,2024-12-14,798.0,True
DD202401287,2024-11-12,微信小程序,P004,小米 14 12+256G ,4299.0,4.0,17196.0,U1163,贵州,已发货,手机数码,2.0,圆通,4.0,2024-11-14,,,2024-11-12,17196.0,True
DD202401766,2024-05-13,拼多多,P008,索尼 WH-1000XM5 耳机,2399.0,3.0,7197.0,U1121,安徽,已完成,手机数码,1.0,顺丰,3.0,2024-05-15,2024-05-17,,2024-05-13,7197.0,True
DD202401179,2024-04-01,天猫,P038,全棉时代 洗脸巾,49.9,3.0,149.7,U1380,内蒙古,已完成,美妆个护,3.0,邮政,6.0,2024-04-04,2024-04-09,,20240401,149.7,True
DD202400623,2024-08-09,天猫,P001,iPhone 15 128G,5999.0,3.0,17997.0,U0225,河南,已发货,手机数码,2.0,中通,4.0,2024-08-11,,,2024-08-09,17997.0,True
DD202402390,2024-12-05,天猫,P047,全棉时代 浴巾,,,,U0661,广东,已完成,家居日用,1.0,京东物流,3.0,2024-12-06,2024-12-08,,2024-12-05,,True
DD202402211,2024-06-22,天猫,P047,全棉时代 浴巾,79.0,4.0,316.0,U0756,江苏,已完成,家居日用,1.0,顺丰,3.0,2024-06-23,2024-06-25,,20240622,316.0,True
DD202400148,2024-01-06,抖音,P009,小米手环8 ,249.0,2.0,498.0,U0839,四川,已完成,手机数码,3.0,邮政,6.0,2024-01-08,2024-01-13,,2024-01-06,498.0,True
DD202401084,2024-04-09,京东,P003,华为 Mate 60 Pro,6999.0,2.0,13998.0,U0097,陕西,已完成,手机数码,1.0,顺丰,3.0,2024-04-10,2024-04-12,,2024-04-09,13998.0,True
DD202401327,2024-05-17,京东,P010,小米 充电宝20000mAh ,129.0,3.0,387.0,U0474,安徽,已发货,手机数码,2.0,中通,4.0,2024-05-19,,,20240517,387.0,True
DD202400081,2024-06-10,拼多多,P046,网易严选 保温杯,99.0,-1.0,-99.0,U0013,山东,已退款,家居日用,,未知,,,,发错货,2024-06-10,-99.0,False
DD202401028,2024-11-16,抖音,P009,小米手环8,249.0,2.0,498.0,U0917,广西,已完成,手机数码,1.0,京东物流,3.0,2024-11-17,2024-11-18,,2024-11-16,498.0,True
DD202400468,2024-01-09,京东,P015,华为平板 MatePad 11,2199.0,0.0,0.0,U0705,广东,已完成,电脑办公,2.0,圆通,4.0,2024-01-11,2024-01-13,,20240109,,True
DD202400045,2024-07-22,拼多多,P005,荣耀Magic6,3999.0,1.0,3999.0,U0930,辽宁,待发货,手机数码,,未知,,,,,2024-07-22,3999.0,True
DD202402794,2024-03-19,京东,P021,米家扫地机器人 ,1599.0,-1.0,-1599.0,U1135,四川,已退款,家电,,未知,,,,物流太慢,2024/3/19,-1599.0,False
DD202402839,2024-07-13,京东,P015,华为平板 matepad 11,2199.0,1.0,2199.0,U1477,陕西,已完成,电脑办公,1.0,京东物流,3.0,2024-07-14,2024-07-15,,2024-07-13,2199.0,True
DD202402055,2024-10-24,京东,P041,蒙牛 纯牛奶24盒,69.9,3.0,209.70000000000002,U0104,浙江,已取消,食品,,未知,,,,,2024-10-24,209.7,False
DD202400361,2024-08-18,京东,P049,苏泊尔 炒锅,159.0,5.0,795.0,U0268,辽宁,已发货,家居日用,1.0,顺丰,3.0,2024-08-19,,,2024-08-18,795.0,True
DD202401577,2024-04-23,微信小程序,P039,完美日记 口红,89.0,4.0,356.0,U1490,四川,待发货,美妆个护,,未知,,,,,2024/4/23,356.0,True
DD202402214,2024-01-17,天猫,P019,海尔 10kg 滚筒洗衣机 ,1899.0,3.0,5697.0,U1155,广西,已取消,家电,,未知,,,,,2024-01-17,5697.0,False
DD202400338,2024-10-01,天猫,P005,荣耀 Magic6 ,3999.0,1.0,3999.0,U0236,山东,已取消,手机数码,,未知,,,,,2024-10-01,3999.0,False
DD202401238,2024-06-01,天猫,P047,全棉时代 浴巾,79.0,-3.0,-237.0,U0703,宁夏,已退款,家居日用,,未知,,,,不想要了,2024/6/1,-237.0,False
DD202401804,2024-07-23,京东,P016,得力A4打印纸,29.9,1.0,29.9,U0210,福建,已完成,电脑办公,1.0,京东物流,3.0,2024-07-24,2024-07-27,,2024-07-23,29.9,True
DD202401915,2024-01-05,抖音,P027,优衣库圆领T恤,79.0,1.0,79.0,U0050,广东,已完成,服饰,2.0,中通,4.0,2024-01-07,2024-01-10,,2024-01-05,79.0,True
DD202400604,2024-08-29,京东,未知,宜家 收纳箱,69.0,-3.0,-207.0,U0662,福建,已退款,家居日用,,未知,,,,发错货,2024-08-29,-207.0,False
DD202401497,2024-11-25,抖音,P032,太平鸟牛仔裤,259.0,5.0,1295.0,U1261,未知,已发货,服饰,1.0,顺丰,3.0,2024-11-26,,,2024-11-25,1295.0,True
DD202400711,2024-03-30,拼多多,P015,华为平板 MatePad 11,2199.0,,,U0610,福建,已完成,电脑办公,1.0,京东物流,3.0,2024-03-31,2024-04-02,,2024-03-30,,True
DD202400874,2024-03-06,天猫,P032,太平鸟 牛仔裤,259.0,4.0,1036.0,U1289,黑龙江,已完成,服饰,1.0,京东物流,3.0,2024-03-07,2024-03-08,,2024-03-06,1036.0,True
DD202401868,2024-01-30,京东,P022,苏泊尔电饭煲 ,299.0,-2.0,-598.0,U0489,黑龙江,已退款,家电,,未知,,,,不想要了,2024-01-30,-598.0,False
DD202400552,2024-11-23,抖音,P040,三只松鼠 坚果礼盒,99.0,0.0,0.0,U0327,湖南,已完成,食品,2.0,圆通,4.0,2024-11-25,2024-11-30,,2024-11-23,,True
DD202400234,2024-02-24,天猫,P007,AirPods Pro 2,1899.0,5.0,9495.0,U0829,贵州,已发货,手机数码,2.0,中通,4.0,2024-02-26,,,20240224,9495.0,True
DD202400403,2024-04-19,天猫,P010,小米 充电宝20000mAh ,129.0,5.0,645.0,U1098,广东,已完成,手机数码,1.0,京东物流,3.0,2024-04-20,2024-04-22,,2024-04-19,645.0,True
