订单号,日期,渠道,商品ID,商品名称,单价,数量,金额,用户ID,收货省份,订单状态,商品品类,承诺发货时效,物流商,承诺送达时效,发货时间,签收时间,退款原因
DD202400726,2024/9/12,微信小程序,P007,AirPods Pro 2,1899,-2.0,-3798.0,U0487,河北,已退款,手机数码,,,,,,物流太慢
DD202404248,2024-12-06,抖音,P043,星巴克 咖啡豆,128,2.0,256.0,U0321,湖南,已发货,食品,2.0,圆通,4.0,2024-12-08,,
DD202404580,2024-05-14,京东,P002,iPhone 15 Pro 256G,8999,-2.0,-17998.0,U0076,河南,已退款,手机数码,,,,,,价格保护
DD202403487,2024/2/21,天猫,P008,索尼WH-1000XM5耳机,2399,2.0,4798.0,U1365,江苏,已完成,手机数码,2.0,中通,4.0,2024-02-23,2024-02-25,
DD202402001,2024/10/16,京东,P012,机械键盘 87键,199,5.0,995.0,U0371,浙江,已完成,电脑办公,2.0,中通,4.0,2024-10-17,2024-10-20,
DD202403363,2024-09-06,抖音,P039,完美日记 口红,89,-2.0,-89.0,U1110,广西,已退款,美妆个护,,,,,,七天无理由
DD202402941,2024-10-22,京东,P027,优衣库 圆领T恤,79,5.0,395.0,U1368,福建,已发货,服饰,1.0,顺丰,3.0,2024/10/23,,
DD202404371,2024-03-17,微信小程序,P043,星巴克 咖啡豆,128,4.0,512.0,U0855,山东,已完成,食品,2.0,中通,4.0,2024-03-18,2024-03-20,
DD202404089,20240506,京东,P034,雅诗兰黛小棕瓶,¥950,2.0,1900.0,U0690,北京,已取消,美妆个护,,,,,,
DD202400386,20241118,微信小程序,P046,网易严选保温杯,99,4.0,396.0,U0197,天津,已完成,家居日用,1.0,京东物流,3.0,2024-11-19,2024-11-21,
DD202402841,2024/11/5,天猫,P032,太平鸟 牛仔裤,¥259,4.0,1036.0,U1307,福建,已完成,服饰,2.0,中通,4.0,2024/11/6,2024-11-10,
DD202403074,2024/7/5,抖音,P049,苏泊尔 炒锅,¥159,4.0,636.0,U0305,浙江,已完成,家居日用,1.0,顺丰,3.0,2024-07-06,2024-07-07,
