日期,渠道,曝光数,访客数,加购数,下单数
2024-01-01,天猫,337,69,18,1
2024-01-01,京东,83,20,6,0
2024-01-01,拼多多,299,45,11,1
2024-01-01,抖音,198,36,10,0
2024-01-01,微信小程序,544,101,24,2
2024-01-02,天猫,262,42,13,1
2024-01-02,京东,674,118,34,4
2024-01-02,拼多多,128,20,6,0
2024-01-02,抖音,436,85,24,1
2024-01-02,微信小程序,380,64,16,1
2024-01-03,天猫,413,63,20,1
2024-01-03,京东,401,72,16,2
2024-01-03,拼多多,456,79,23,2
2024-01-03,抖音,391,82,24,1
2024-01-03,微信小程序,454,73,25,2
2024-01-04,天猫,136,26,6,0
2024-01-04,京东,290,43,12,0
2024-01-04,拼多多,263,46,16,0
2024-01-04,抖音,279,41,11,0
2024-01-04,微信小程序,87,18,4,0
2024-01-05,天猫,428,70,24,1
2024-01-05,京东,347,71,19,2
2024-01-05,拼多多,479,107,26,3
2024-01-05,抖音,813,122,28,2
2024-01-05,微信小程序,306,47,14,1
2024-01-06,天猫,530,129,40,4
2024-01-06,京东,111,22,6,0
2024-01-06,拼多多,523,110,24,3
2024-01-06,抖音,899,185,64,3
2024-01-06,微信小程序,85,14,4,0
2024-01-07,天猫,158,30,10,0
2024-01-07,京东,135,20,6,0
2024-01-07,拼多多,45,11,3,0
2024-01-07,抖音,144,25,9,0
2024-01-07,微信小程序,106,18,6,0
2024-01-08,天猫,179,41,9,1
2024-01-08,京东,789,134,34,6
2024-01-08,拼多多,178,44,9,1
2024-01-08,抖音,269,66,22,1
2024-01-08,微信小程序,609,100,23,2
2024-01-09,天猫,196,39,14,1
2024-01-09,京东,465,92,29,4
2024-01-09,拼多多,533,83,17,2
2024-01-09,抖音,1295,193,59,3
2024-01-09,微信小程序,322,48,13,0
2024-01-10,天猫,436,82,17,2
2024-01-10,京东,277,66,20,1
2024-01-10,拼多多,487,100,23,3
2024-01-10,抖音,59,14,3,0
2024-01-10,微信小程序,234,48,15,0
2024-01-11,天猫,86,15,3,0
2024-01-11,京东,214,37,13,0
2024-01-11,拼多多,103,20,6,0
2024-01-11,抖音,243,48,11,0
2024-01-11,微信小程序,134,24,8,0
2024-01-12,天猫,441,77,19,3
2024-01-12,京东,200,38,13,0
2024-01-12,拼多多,577,111,28,3
2024-01-12,抖音,137,25,9,0
2024-01-12,微信小程序,592,100,28,2
2024-01-13,天猫,395,67,18,1
2024-01-13,京东,506,77,20,2
2024-01-13,拼多多,619,119,27,3
2024-01-13,抖音,241,46,11,0
2024-01-13,微信小程序,189,34,11,0
2024-01-14,天猫,188,34,8,0
2024-01-14,京东,274,44,11,0
2024-01-14,拼多多,129,19,6,0
2024-01-14,抖音,107,25,7,0
2024-01-14,微信小程序,60,12,3,0
2024-01-15,天猫,710,114,35,4
2024-01-15,京东,680,104,30,3
2024-01-15,拼多多,262,38,11,1
2024-01-15,抖音,659,143,36,2
2024-01-15,微信小程序,108,18,5,0
2024-01-16,天猫,1622,234,52,9
2024-01-16,京东,385,73,16,3
2024-01-16,拼多多,483,95,20,2
2024-01-16,抖音,310,73,16,1
2024-01-16,微信小程序,211,33,10,0
2024-01-17,天猫,317,65,19,2
2024-01-17,京东,600,103,21,3
2024-01-17,拼多多,472,87,29,2
2024-01-17,抖音,186,31,11,0
2024-01-17,微信小程序,357,65,21,1
2024-01-18,天猫,236,37,11,0
2024-01-18,京东,284,46,14,0
2024-01-18,拼多多,182,33,8,0
2024-01-18,抖音,164,40,10,0
2024-01-18,微信小程序,61,13,4,0
2024-01-19,天猫,606,110,25,3
2024-01-19,京东,328,56,15,2
2024-01-19,拼多多,132,29,9,0
2024-01-19,抖音,477,81,18,1
2024-01-19,微信小程序,686,109,37,2
2024-01-20,天猫,361,62,18,1
2024-01-20,京东,355,53,14,1
2024-01-20,拼多多,711,145,32,5
2024-01-20,抖音,290,49,13,0
2024-01-20,微信小程序,113,21,6,0
2024-01-21,天猫,321,47,11,0
2024-01-21,京东,214,32,9,0
2024-01-21,拼多多,206,34,11,0
2024-01-21,抖音,185,31,9,0
2024-01-21,微信小程序,131,28,7,0
2024-01-22,天猫,516,128,37,4
2024-01-22,京东,386,56,15,1
2024-01-22,拼多多,109,25,6,0
2024-01-22,抖音,1316,260,59,4
2024-01-22,微信小程序,250,42,14,0
2024-01-23,天猫,989,149,49,5
2024-01-23,京东,185,32,8,0
2024-01-23,拼多多,229,52,12,1
2024-01-23,抖音,447,92,28,1
2024-01-23,微信小程序,325,69,21,1
2024-01-24,天猫,439,87,18,3
2024-01-24,京东,284,46,12,1
2024-01-24,拼多多,627,117,29,4
2024-01-24,抖音,142,21,5,0
2024-01-24,微信小程序,223,55,11,1
2024-01-25,天猫,260,45,14,0
2024-01-25,京东,168,38,8,0
2024-01-25,拼多多,73,11,3,0
2024-01-25,抖音,86,20,4,0
2024-01-25,微信小程序,171,28,6,0
2024-01-26,天猫,288,67,17,2
2024-01-26,京东,443,100,22,3
2024-01-26,拼多多,323,55,14,1
2024-01-26,抖音,470,104,30,1
2024-01-26,微信小程序,363,79,24,1
2024-01-27,天猫,473,77,26,3
2024-01-27,京东,338,83,21,3
2024-01-27,拼多多,324,58,19,1
2024-01-27,抖音,181,34,7,0
2024-01-27,微信小程序,90,13,4,0
2024-01-28,天猫,223,40,10,0
2024-01-28,京东,167,38,10,0
2024-01-28,拼多多,228,34,9,0
2024-01-28,抖音,153,25,5,0
2024-01-28,微信小程序,191,35,7,0
2024-01-29,天猫,221,40,13,1
2024-01-29,京东,497,89,26,3
2024-01-29,拼多多,776,115,32,4
2024-01-29,抖音,1178,199,60,3
2024-01-29,微信小程序,370,81,19,2
2024-01-30,天猫,253,58,17,1
2024-01-30,京东,586,103,25,3
2024-01-30,拼多多,200,44,14,0
2024-01-30,抖音,869,151,51,2
2024-01-30,微信小程序,518,102,34,2
