日期,渠道,曝光数,访客数,加购数,下单数
2024-01-01,天猫,551,113,29,3
2024-01-01,京东,250,60,17,2
2024-01-01,拼多多,299,45,11,1
2024-01-01,抖音,804,146,40,2
2024-01-01,微信小程序,868,161,38,4
2024-01-02,天猫,399,64,19,2
2024-01-02,京东,788,138,39,5
2024-01-02,拼多多,128,20,6,0
2024-01-02,抖音,436,85,24,1
2024-01-02,微信小程序,558,94,23,2
2024-01-03,天猫,557,85,27,2
2024-01-03,京东,512,92,20,3
2024-01-03,拼多多,757,131,39,4
2024-01-03,抖音,391,82,24,1
2024-01-03,微信小程序,454,73,25,2
2024-01-04,天猫,136,26,6,0
2024-01-04,京东,290,43,12,0
2024-01-04,拼多多,263,46,16,0
2024-01-04,抖音,279,41,11,0
2024-01-04,微信小程序,87,18,4,0
2024-01-05,天猫,697,114,39,3
2024-01-05,京东,639,131,34,5
2024-01-05,拼多多,712,159,38,5
2024-01-05,抖音,813,122,28,2
2024-01-05,微信小程序,306,47,14,1
2024-01-06,天猫,711,173,53,6
2024-01-06,京东,212,42,11,1
2024-01-06,拼多多,646,136,30,4
2024-01-06,抖音,1434,295,102,5
2024-01-06,微信小程序,85,14,4,0
2024-01-07,天猫,158,30,10,0
2024-01-07,京东,135,20,6,0
2024-01-07,拼多多,45,11,3,0
2024-01-07,抖音,144,25,9,0
2024-01-07,微信小程序,106,18,6,0
2024-01-08,天猫,179,41,9,1
2024-01-08,京东,789,134,34,6
2024-01-08,拼多多,284,70,14,2
2024-01-08,抖音,492,121,40,2
2024-01-08,微信小程序,974,160,36,4
2024-01-09,天猫,306,61,21,2
2024-01-09,京东,566,112,35,5
2024-01-09,拼多多,533,83,17,2
2024-01-09,抖音,1295,193,59,3
2024-01-09,微信小程序,524,78,21,1
2024-01-10,天猫,670,126,26,4
2024-01-10,京东,361,86,26,2
2024-01-10,拼多多,487,100,23,3
2024-01-10,抖音,59,14,3,0
2024-01-10,微信小程序,380,78,25,1
2024-01-11,天猫,86,15,3,0
2024-01-11,京东,214,37,13,0
2024-01-11,拼多多,103,20,6,0
2024-01-11,抖音,243,48,11,0
2024-01-11,微信小程序,134,24,8,0
2024-01-12,天猫,441,77,19,3
2024-01-12,京东,410,78,26,2
2024-01-12,拼多多,577,111,28,3
2024-01-12,抖音,137,25,9,0
2024-01-12,微信小程序,769,130,37,3
2024-01-13,天猫,395,67,18,1
2024-01-13,京东,506,77,20,2
2024-01-13,拼多多,619,119,27,3
2024-01-13,抖音,530,101,25,1
2024-01-13,微信小程序,189,34,11,0
2024-01-14,天猫,188,34,8,0
2024-01-14,京东,274,44,11,0
2024-01-14,拼多多,129,19,6,0
2024-01-14,抖音,107,25,7,0
2024-01-14,微信小程序,60,12,3,0
2024-01-15,天猫,1121,180,56,7
2024-01-15,京东,680,104,30,3
2024-01-15,拼多多,262,38,11,1
2024-01-15,抖音,913,198,49,3
2024-01-15,微信小程序,467,78,24,2
2024-01-16,天猫,1774,256,57,10
2024-01-16,京东,491,93,21,4
2024-01-16,拼多多,880,173,36,5
2024-01-16,抖音,310,73,16,1
2024-01-16,微信小程序,404,63,18,1
2024-01-17,天猫,425,87,25,3
2024-01-17,京东,716,123,25,4
2024-01-17,拼多多,472,87,29,2
2024-01-17,抖音,186,31,11,0
2024-01-17,微信小程序,687,125,40,3
2024-01-18,天猫,236,37,11,0
2024-01-18,京东,284,46,14,0
2024-01-18,拼多多,182,33,8,0
2024-01-18,抖音,164,40,10,0
2024-01-18,微信小程序,61,13,4,0
2024-01-19,天猫,849,154,35,5
2024-01-19,京东,328,56,15,2
2024-01-19,拼多多,132,29,9,0
2024-01-19,抖音,477,81,18,1
2024-01-19,微信小程序,686,109,37,2
2024-01-20,天猫,489,84,24,2
2024-01-20,京东,757,113,30,4
2024-01-20,拼多多,711,145,32,5
2024-01-20,抖音,290,49,13,0
2024-01-20,微信小程序,274,51,16,1
2024-01-21,天猫,321,47,11,0
2024-01-21,京东,214,32,9,0
2024-01-21,拼多多,206,34,11,0
2024-01-21,抖音,185,31,9,0
2024-01-21,微信小程序,131,28,7,0
2024-01-22,天猫,604,150,43,5
2024-01-22,京东,524,76,20,2
2024-01-22,拼多多,222,51,12,1
2024-01-22,抖音,1316,260,59,4
2024-01-22,微信小程序,428,72,23,1
2024-01-23,天猫,1281,193,63,7
2024-01-23,京东,415,72,18,2
2024-01-23,拼多多,343,78,19,2
2024-01-23,抖音,714,147,44,2
2024-01-23,微信小程序,325,69,21,1
2024-01-24,天猫,661,131,27,5
2024-01-24,京东,655,106,28,4
2024-01-24,拼多多,906,169,42,6
2024-01-24,抖音,512,76,19,1
2024-01-24,微信小程序,223,55,11,1
2024-01-25,天猫,260,45,14,0
2024-01-25,京东,168,38,8,0
2024-01-25,拼多多,73,11,3,0
2024-01-25,抖音,86,20,4,0
2024-01-25,微信小程序,171,28,6,0
2024-01-26,天猫,478,111,28,4
2024-01-26,京东,443,100,22,3
2024-01-26,拼多多,323,55,14,1
2024-01-26,抖音,718,159,46,2
2024-01-26,微信小程序,363,79,24,1
2024-01-27,天猫,878,143,48,6
2024-01-27,京东,338,83,21,3
2024-01-27,拼多多,324,58,19,1
2024-01-27,抖音,472,89,20,1
2024-01-27,微信小程序,90,13,4,0
2024-01-28,天猫,223,40,10,0
2024-01-28,京东,167,38,10,0
2024-01-28,拼多多,228,34,9,0
2024-01-28,抖音,153,25,5,0
2024-01-28,微信小程序,191,35,7,0
2024-01-29,天猫,463,84,27,3
2024-01-29,京东,497,89,26,3
2024-01-29,拼多多,951,141,40,5
2024-01-29,抖音,1178,199,60,3
2024-01-29,微信小程序,370,81,19,2
2024-01-30,天猫,348,80,24,2
2024-01-30,京东,700,123,30,4
2024-01-30,拼多多,318,70,23,1
2024-01-30,抖音,1186,206,69,3
2024-01-30,微信小程序,518,102,34,2
2024-01-31,天猫,79,16,4,0
2024-01-31,京东,79,19,6,0
2024-01-31,拼多多,100,19,5,0
2024-01-31,抖音,147,25,6,0
2024-01-31,微信小程序,108,20,5,0
2024-02-01,天猫,497,91,24,3
2024-02-01,京东,670,101,24,4
2024-02-01,拼多多,760,125,40,3
2024-02-01,抖音,1610,297,86,5
2024-02-01,微信小程序,553,109,22,2
2024-02-02,天猫,552,81,21,3
2024-02-02,京东,474,69,14,1
2024-02-02,拼多多,299,70,22,2
2024-02-02,抖音,875,203,65,3
2024-02-02,微信小程序,355,51,14,1
2024-02-03,天猫,690,147,46,6
2024-02-03,京东,116,22,6,0
2024-02-03,拼多多,647,118,33,4
2024-02-03,抖音,422,73,22,1
2024-02-03,微信小程序,357,83,28,2
2024-02-04,天猫,889,130,32,5
